𫢥	U+2B8A5	E
𫢧	U+2B8A7	E
𫢨	U+2B8A8	E
𫢩	U+2B8A9	E
𫢫	U+2B8AB	E
𫢱	U+2B8B1	E
𫢲	U+2B8B2	E
𫢴	U+2B8B4	E
𫢵	U+2B8B5	E
𫢼	U+2B8BC	E
𫢽	U+2B8BD	E
𫢾	U+2B8BE	E
𫢿	U+2B8BF	E
𫣀	U+2B8C0	E
𫣁	U+2B8C1	E
𫣂	U+2B8C2	E
𫣃	U+2B8C3	E
𫣄	U+2B8C4	E
𫣇	U+2B8C7	E
𫣈	U+2B8C8	E
𫣋	U+2B8CB	E
𫣏	U+2B8CF	E
𫣐	U+2B8D0	E
𫣒	U+2B8D2	E
𫣓	U+2B8D3	E
𫣔	U+2B8D4	E
𫣕	U+2B8D5	E
𫣙	U+2B8D9	E
𫣚	U+2B8DA	E
𫣜	U+2B8DC	E
𫣝	U+2B8DD	E
𫣞	U+2B8DE	E
𫣢	U+2B8E2	E
𫣣	U+2B8E3	E
𫣨	U+2B8E8	E
𫣪	U+2B8EA	E
𫣬	U+2B8EC	E
𫣮	U+2B8EE	E
𫣰	U+2B8F0	E
𫣱	U+2B8F1	E
𫣲	U+2B8F2	E
𫣴	U+2B8F4	E
𫣵	U+2B8F5	E
𫣶	U+2B8F6	E
𫣸	U+2B8F8	E
𫣹	U+2B8F9	E
𫣽	U+2B8FD	E
𫣿	U+2B8FF	E
𫤀	U+2B900	E
𫤁	U+2B901	E
𫤂	U+2B902	E
𫤄	U+2B904	E
𫤅	U+2B905	E
𫤆	U+2B906	E
𫤈	U+2B908	E
𫤉	U+2B909	E
𫤊	U+2B90A	E
𫤋	U+2B90B	E
𫤍	U+2B90D	E
𫤎	U+2B90E	E
𫤏	U+2B90F	E
𫤑	U+2B911	E
𫤒	U+2B912	E
𫤓	U+2B913	E
𫤕	U+2B915	E
𫤙	U+2B919	E
𫤚	U+2B91A	E
𫤛	U+2B91B	E
𫤜	U+2B91C	E
𫤝	U+2B91D	E
𫤞	U+2B91E	E
𫤟	U+2B91F	E
𫤠	U+2B920	E
𫤡	U+2B921	E
𫤢	U+2B922	E
𫤣	U+2B923	E
𫤤	U+2B924	E
𫤧	U+2B927	E
𫤩	U+2B929	E
𫤪	U+2B92A	E
𫤫	U+2B92B	E
𫤬	U+2B92C	E
𫤮	U+2B92E	E
𫤯	U+2B92F	E
𫤱	U+2B931	E
𫤲	U+2B932	E
𫤳	U+2B933	E
𫤵	U+2B935	E
𫤶	U+2B936	E
𫤷	U+2B937	E
𫤺	U+2B93A	E
𫤼	U+2B93C	E
𫤾	U+2B93E	E
𫥅	U+2B945	E
𫥉	U+2B949	E
𫥊	U+2B94A	E
𫥋	U+2B94B	E
𫥌	U+2B94C	E
𫥎	U+2B94E	E
𫥏	U+2B94F	E
𫥐	U+2B950	E
𫥑	U+2B951	E
𫥔	U+2B954	E
𫥕	U+2B955	E
𫥖	U+2B956	E
𫥘	U+2B958	E
𫥛	U+2B95B	E
𫥜	U+2B95C	E
𫥠	U+2B960	E
𫥣	U+2B963	E
𫥥	U+2B965	E
𫥦	U+2B966	E
𫥧	U+2B967	E
𫥨	U+2B968	E
𫥩	U+2B969	E
𫥪	U+2B96A	E
𫥫	U+2B96B	E
𫥮	U+2B96E	E
𫥯	U+2B96F	E
𫥰	U+2B970	E
𫥱	U+2B971	E
𫥲	U+2B972	E
𫥴	U+2B974	E
𫥶	U+2B976	E
𫥷	U+2B977	E
𫥸	U+2B978	E
𫥹	U+2B979	E
𫥻	U+2B97B	E
𫥽	U+2B97D	E
𫥾	U+2B97E	E
𫥿	U+2B97F	E
𫦀	U+2B980	E
𫦂	U+2B982	E
𫦃	U+2B983	E
𫦄	U+2B984	E
𫦆	U+2B986	E
𫦇	U+2B987	E
𫦈	U+2B988	E
𫦊	U+2B98A	E
𫦋	U+2B98B	E
𫦎	U+2B98E	E
𫦏	U+2B98F	E
𫦑	U+2B991	E
𫦓	U+2B993	E
𫦔	U+2B994	E
𫦕	U+2B995	E
𫦖	U+2B996	E
𫦘	U+2B998	E
𫦙	U+2B999	E
𫦚	U+2B99A	E
𫦛	U+2B99B	E
𫦜	U+2B99C	E
𫦝	U+2B99D	E
𫦞	U+2B99E	E
𫦟	U+2B99F	E
𫦠	U+2B9A0	E
𫦡	U+2B9A1	E
𫦢	U+2B9A2	E
𫦣	U+2B9A3	E
𫦤	U+2B9A4	E
𫦥	U+2B9A5	E
𫦦	U+2B9A6	E
𫦧	U+2B9A7	E
𫦨	U+2B9A8	E
𫦫	U+2B9AB	E
𫦬	U+2B9AC	E
𫦭	U+2B9AD	E
𫦯	U+2B9AF	E
𫦰	U+2B9B0	E
𫦵	U+2B9B5	E
𫦶	U+2B9B6	E
𫦸	U+2B9B8	E
𫦹	U+2B9B9	E
𫦻	U+2B9BB	E
𫦼	U+2B9BC	E
𫦽	U+2B9BD	E
𫦿	U+2B9BF	E
𫧀	U+2B9C0	E
𫧁	U+2B9C1	E
𫧂	U+2B9C2	E
𫧃	U+2B9C3	E
𫧄	U+2B9C4	E
𫧅	U+2B9C5	E
𫧆	U+2B9C6	E
