𪝦	0	0	ㄊㄨㄛ	[CNS]
𪝦	0	0	ㄓㄜˊ	[CNS]
𪝧	0	0	ㄕㄢˇ	[CNS]
𪝨	0	0	ㄐㄧㄝˊ	[CNS]
𪝩	0	0	ㄧㄢ	[CNS]
𪝪	0	0	ㄐㄧㄚˇ	[CNS]
𪝪	0	0	ㄐㄧㄚˋ	[CNS]
𪝫	0	0	ㄧㄢˇ	[CNS]
𪝬	0	0	ㄙㄨㄟˋ	[CNS]
𪝭	0	0	ㄩˊ	[CNS]
𪝮	0	0	ㄕㄣ	[CNS]
𪝯	0	0	ㄉㄜˊ	[CNS]
𪝯	0	0	ㄞˋ	[CNS]
𪝰	0	0	ㄇㄚˇ	[CNS]
𪝱	0	0	ㄘㄨㄟ	[CNS]
𪝲	0	0	ㄑㄧㄡ	[CNS]
𪝳	0	0	ㄏㄢˋ	[CNS]
𪝴	0	0	ㄑㄧㄢ	[CNS]
𪝵	0	0	ㄌㄧㄡˊ	[CNS]
𪝶	0	0	ㄕㄨˋ	[CNS]
𪝷	0	0	ㄋㄧˊ	[CNS]
𪝸	0	0	ㄨㄣˊ	[CNS]
𪝹	0	0	ㄇㄧㄠˋ	[CNS]
𪝺	0	0	ㄒㄧㄚˊ	[CNS]
𪝻	0	0	ㄙㄚˇ	[CNS]
𪝼	0	0	ㄧㄥ	[CNS]
𪝽	0	0	ㄉㄧㄢ	[CNS]
𪝾	0	0	ㄔㄨㄣ	[CNS]
𪝿	0	0	ㄉㄡ	[CNS]
𪞀	0	0	ㄍㄨㄤ	[CNS]
𪞁	0	0	ㄊㄨˋ	[CNS]
𪞂	0	0	ㄧㄠˋ	[CNS]
𪞃	0	0	ㄒㄧㄥ	[CNS]
𪞄	0	0	ㄒㄧㄠˋ	[CNS]
𪞅	0	0	ㄊㄞˊ	[CNS]
𪞆	0	0	ㄘㄢˋ	[CNS]
𪞇	0	0	ㄈㄣ	[CNS]
𪞈	0	0	ㄍㄨㄢˋ	[CNS]
𪞉	0	0	ㄒㄧˇ	[CNS]
𪞊	0	0	ㄕㄤ	[CNS]
𪞋	0	0	ㄍㄨㄥ	[CNS]
𪞌	0	0	ㄕㄡˋ	[CNS]
𪞍	0	0	ㄑㄧㄢˋ	[CNS]
𪞎	0	0	ㄍㄨˋ	[CNS]
𪞏	0	0	ㄨㄢˇ	[CNS]
𪞐	0	0	ㄏㄢˇ	[CNS]
𪞑	0	0	ㄔㄨㄥ	[CNS]
𪞒	0	0	ㄍㄨㄢˋ	[CNS]
𪞓	0	0	ㄇㄧˋ	[CNS]
𪞓	0	0	ㄕˋ	[CNS]
𪞔	0	0	ㄐㄩˋ	[CNS]
𪞕	0	0	ㄍㄨㄚˇ	[CNS]
𪞖	0	0	ㄈㄢˋ	[CNS]
𪞗	0	0	ㄖㄨㄟˋ	[CNS]
𪞘	0	0	ㄐㄧㄣ	[CNS]
𪞙	0	0	ㄨㄣˋ	[CNS]
𪞚	0	0	ㄗㄜˊ	[CNS]
𪞛	0	0	ㄊㄧㄢˊ	[CNS]
𪞜	0	0	ㄅㄛˊ	[CNS]
𪞝	0	0	ㄉㄨㄛˊ	[CNS]
𪞞	0	0	ㄔㄥˊ	[CNS]
𪞟	0	0	ㄊㄨㄥ	[CNS]
𪞠	0	0	ㄌㄧㄠˇ	[CNS]
𪞡	0	0	ㄊㄨˊ	[CNS]
𪞢	0	0	ㄧㄚˊ	[CNS]
𪞣	0	0	ㄏㄨˇ	[CNS]
𪞥	0	0	ㄗㄨㄥ	[CNS]
𪞦	0	0	ㄨㄟˋ	[CNS]
𪞧	0	0	ㄉㄞˇ	[CNS]
𪞨	0	0	ㄊㄧㄥˊ	[CNS]
𪞩	0	0	ㄏㄨㄟˋ	[CNS]
𪞪	0	0	ㄈㄨˇ	[CNS]
𪞫	0	0	ㄕㄨˋ	[CNS]
𪞬	0	0	ㄓㄤ	[CNS]
𪞭	0	0	ㄐㄧㄠ	[CNS]
𪞮	0	0	ㄌㄧㄥˊ	[CNS]
𪞯	0	0	ㄏㄠˊ	[CNS]
𪞰	0	0	ㄔㄨㄤˇ	[CNS]
𪞱	0	0	ㄎㄜˊ	[CNS]
𪞲	0	0	ㄓㄢ	[CNS]
𪞳	0	0	ㄔㄥˊ	[CNS]
𪞴	0	0	ㄐㄧˋ	[CNS]
𪞵	0	0	ㄒㄩㄝˇ	[CNS]
𪞶	0	0	ㄕㄢ	[CNS]
𪞷	0	0	ㄋㄧㄢˋ	[CNS]
𪞸	0	0	ㄨˇ	[CNS]
𪞹	0	0	ㄖㄣˇ	[CNS]
𪞺	0	0	ㄖㄨˇ	[CNS]
𪞻	0	0	ㄨˊ	[CNS]
𪞼	0	0	ㄒㄧㄢˋ	[CNS]
𪞽	0	0	ㄋㄨㄥˊ	[CNS]
𪞾	0	0	ㄈㄨ	[CNS]
𪞿	0	0	ㄉㄨㄣˋ	[CNS]
𪟀	0	0	ㄈㄤ	[CNS]
𪟁	0	0	ㄙㄨㄣ	[CNS]
𪟃	0	0	ㄊㄠˋ	[CNS]
𪟄	0	0	ㄋㄧˋ	[CNS]
𪟅	0	0	ㄐㄩㄝˊ	[CNS]
𪟆	0	0	ㄩˋ	[CNS]
𪟇	0	0	ㄇㄠˋ	[CNS]
𪟈	0	0	ㄓㄜˇ	[CNS]
𪟉	0	0	ㄎㄨㄚ	[CNS]
𪟊	0	0	ㄍㄨㄚˇ	[CNS]
𪟋	0	0	ㄖㄣˋ	[CNS]
𪟌	0	0	ㄓㄨˋ	[CNS]
𪟍	0	0	ㄊㄨㄥˇ	[CNS]
𪟎	0	0	ㄐㄧㄢ	[CNS]
𪟏	0	0	ㄕㄥˋ	[CNS]
𪟐	0	0	ㄓㄥ	[CNS]
𪟑	0	0	ㄈㄣ	[CNS]
𪟑	0	0	ㄈㄣˋ	[CNS]
𪟒	0	0	ㄗㄨˊ	[CNS]
𪟓	0	0	ㄍㄨㄣˇ	[CNS]
𪟔	0	0	ㄅㄛ	[CNS]
𪟕	0	0	ㄐㄧˋ	[CNS]
𪟖	0	0	ㄐㄧㄣˋ	[CNS]
𪟗	0	0	ㄋㄨˇ	[CNS]
𪟘	0	0	ㄑㄧㄡ	[CNS]
𪟙	0	0	ㄍㄣˇ	[CNS]
𪟚	0	0	ㄌㄧㄝˋ	[CNS]
𪟛	0	0	ㄕˋ	[CNS]
𪟜	0	0	ㄕㄚ	[CNS]
𪟞	0	0	ㄘㄞˊ	[CNS]
𪟟	0	0	ㄇㄧㄢˇ	[CNS]
𪟠	0	0	ㄌㄧˋ	[CNS]
𪟡	0	0	ㄎㄜˇ	[CNS]
𪟢	0	0	ㄧˋ	[CNS]
𪟣	0	0	ㄓㄨㄛˊ	[CNS]
𪟤	0	0	ㄋㄨㄥˋ	[CNS]
𪟥	0	0	ㄏㄨㄚˊ	[CNS]
𪟥	0	0	ㄏㄨㄚˋ	[CNS]
𪟥	0	0	ㄏㄨㄛˋ	[CNS]
𪟦	0	0	ㄑㄧˊ	[CNS]
𪟧	0	0	ㄋㄠˋ	[CNS]
𪟨	0	0	ㄅㄧˇ	[CNS]
𪟩	0	0	ㄒㄧㄢˊ	[CNS]
𪟪	0	0	ㄅㄟ	[CNS]
𪟪	0	0	ㄅㄟˋ	[CNS]
𪟫	0	0	ㄒㄧㄝˊ	[CNS]
𪟬	0	0	ㄇㄠˋ	[CNS]
𪟭	0	0	ㄔㄣˊ	[CNS]
𪟮	0	0	ㄧㄤˊ	[CNS]
𪟯	0	0	ㄌㄧˇ	[CNS]
𪟰	0	0	ㄍㄜˊ	[CNS]
𪟰	0	0	ㄏㄜˊ	[CNS]
𪟱	0	0	ㄒㄧ	[CNS]
𪟲	0	0	ㄍㄢˇ	[CNS]
𪟳	0	0	ㄨˇ	[CNS]
𪟴	0	0	ㄍㄢ	[CNS]
𪟵	0	0	ㄔㄠˊ	[CNS]
𪟶	0	0	ㄧㄣˇ	[CNS]
𪟷	0	0	ㄍㄢˋ	[CNS]
𪟸	0	0	ㄆㄤˊ	[CNS]
𪟹	0	0	ㄌㄧㄥˊ	[CNS]
𪟹	0	0	ㄌㄧㄥˋ	[CNS]
𪟺	0	0	ㄕㄨ	[CNS]
𪟻	0	0	ㄓㄨㄣˇ	[CNS]
𪟼	0	0	ㄗㄨˊ	[CNS]
𪟽	0	0	ㄧˊ	[CNS]
𪟾	0	0	ㄈㄨˋ	[CNS]
𪟿	0	0	ㄑㄧㄢˊ	[CNS]
𪠀	0	0	ㄎㄨ	[CNS]
𪠁	0	0	ㄍㄜˊ	[CNS]
𪠁	0	0	ㄏㄜˊ	[CNS]
𪠂	0	0	ㄐㄧˊ	[CNS]
𪠃	0	0	ㄇㄚˋ	[CNS]
𪠄	0	0	ㄧㄢ	[CNS]
𪠅	0	0	ㄐㄧˊ	[CNS]
𪠆	0	0	ㄅㄧㄥˋ	[CNS]
𪠇	0	0	ㄔˋ	[CNS]
𪠈	0	0	ㄇㄧㄣˇ	[CNS]
𪠉	0	0	ㄌㄧˋ	[CNS]
𪠊	0	0	ㄗㄜˋ	[CNS]
𪠋	0	0	ㄓˊ	[CNS]
𪠌	0	0	ㄑㄧㄥˇ	[CNS]
𪠍	0	0	ㄔㄤˊ	[CNS]
𪠎	0	0	ㄘㄨㄥ	[CNS]
𪠏	0	0	ㄧㄢˇ	[CNS]
𪠐	0	0	ㄧㄢˋ	[CNS]
𪠑	0	0	ㄅㄛˊ	[CNS]
𪠒	0	0	ㄕㄨㄛˋ	[CNS]
𪠓	0	0	ㄍㄨㄤˇ	[CNS]
𪠔	0	0	ㄐㄧㄡˋ	[CNS]
𪠕	0	0	ㄧㄢˋ	[CNS]
𪠖	0	0	ㄆㄨ	[CNS]
𪠗	0	0	ㄊㄞˊ	[CNS]
𪠘	0	0	ㄒㄧㄝˋ	[CNS]
𪠙	0	0	ㄆㄤˊ	[CNS]
𪠚	0	0	ㄌㄧˋ	[CNS]
𪠛	0	0	ㄧㄢˊ	[CNS]
𪠜	0	0	ㄆㄟˋ	[CNS]
𪠝	0	0	ㄋㄧˊ	[CNS]
𪠞	0	0	ㄉㄨㄛ	[CNS]
𪠟	0	0	ㄓㄣˇ	[CNS]
𪠠	0	0	ㄞ	[CNS]
𪠡	0	0	ㄌㄧㄤˇ	[CNS]
𪠢	0	0	ㄍㄨㄤˇ	[CNS]
𪠣	0	0	ㄧㄡˇ	[CNS]
𪠤	0	0	ㄉㄠ	[CNS]
𪠥	0	0	ㄧㄡˇ	[CNS]
𪠦	0	0	ㄅㄢˇ	[CNS]
𪠧	0	0	ㄑㄧㄢ	[CNS]
𪠨	0	0	ㄙㄡˇ	[CNS]
𪠩	0	0	ㄒㄩˋ	[CNS]
𪠪	0	0	ㄒㄧㄚˊ	[CNS]
𪠫	0	0	ㄆㄢˋ	[CNS]
𪠬	0	0	ㄍㄢˇ	[CNS]
𪠭	0	0	ㄗㄨˇ	[CNS]
𪠯	0	0	ㄡ	[CNS]
𪠰	0	0	ㄓㄨㄟˋ	[CNS]
𪠱	0	0	ㄐㄧㄝˊ	[CNS]
𪠲	0	0	ㄇㄛˋ	[CNS]
𪠳	0	0	ㄔㄜ	[CNS]
𪠴	0	0	ㄨㄣˇ	[CNS]
𪠵	0	0	ㄌㄨㄣˊ	[CNS]
𪠶	0	0	ㄗㄨㄛˋ	[CNS]
𪠷	0	0	ㄕˇ	[CNS]
𪠸	0	0	ㄌㄚ	[CNS]
𪠹	0	0	ㄎㄡˇ	[CNS]
𪠺	0	0	ㄓˊ	[CNS]
𪠻	0	0	ㄌㄧㄡˊ	[CNS]
𪠼	0	0	ㄖㄡˋ	[CNS]
𪠽	0	0	ㄉㄤ	[UNI]
𪠾	0	0	ㄓㄡ	[CNS]
𪠿	0	0	ㄗㄨˊ	[CNS]
𪡀	0	0	ㄑㄧㄠˊ	[CNS]
𪡁	0	0	ㄔㄨㄥˋ	[CNS]
𪡂	0	0	ㄇㄡˊ	[CNS]
𪡃	0	0	ㄇㄞˇ	[CNS]
𪡄	0	0	ㄒㄧㄚˊ	[CNS]
𪡅	0	0	ㄜˋ	[CNS]
𪡆	0	0	ㄧㄣˊ	[CNS]
𪡇	0	0	ㄋㄧˇ	[CNS]
𪡈	0	0	ㄅㄛ	[CNS]
𪡉	0	0	ㄌㄩˇ	[CNS]
𪡊	0	0	ㄓˋ	[CNS]
𪡋	0	0	ㄧㄢˇ	[CNS]
𪡌	0	0	ㄗ	[CNS]
𪡍	0	0	ㄌㄧㄣˋ	[CNS]
𪡎	0	0	ㄌㄧㄥˋ	[CNS]
𪡏	0	0	ㄌㄧㄢˊ	[CNS]
𪡐	0	0	ㄏㄨㄟˊ	[CNS]
𪡐	0	0	ㄧㄡˋ	[CNS]
𪡑	0	0	ㄖㄨˇ	[CNS]
𪡒	0	0	ㄏㄥˋ	[CNS]
𪡓	0	0	ㄍㄨㄣˇ	[CNS]
𪡓	0	0	ㄎㄨㄣ	[CNS]
𪡔	0	0	ㄆㄧˊ	[CNS]
𪡕	0	0	ㄨㄣˇ	[CNS]
𪡖	0	0	ㄧㄣ	[CNS]
𪡗	0	0	ㄒㄧㄣ	[CNS]
𪡘	0	0	ㄒㄧㄢ	[CNS]
𪡙	0	0	ㄌㄤ	[CNS]
𪡚	0	0	ㄕㄥ	[CNS]
𪡛	0	0	ㄒㄧㄚˋ	[CNS]
𪡜	0	0	ㄇㄡˇ	[CNS]
𪡝	0	0	ㄒㄧㄤˋ	[CNS]
𪡞	0	0	ㄎㄨㄟˋ	[CNS]
𪡟	0	0	ㄙㄨㄛ	[CNS]
𪡠	0	0	ㄑㄩㄢˊ	[CNS]
𪡡	0	0	ㄏㄨㄥ	[CNS]
𪡢	0	0	ㄔㄨㄢ	[CNS]
𪡣	0	0	ㄇㄡˇ	[CNS]
𪡤	0	0	ㄔㄨㄣˊ	[CNS]
